Congressional district,Change in tax revenues under OBBB ($ million),Average change in tax liabilities under OBBB ($),Average change in take-home pay under OBBB ($)
AK-00,-795,"-1,878","3,152"
AL-01,-603,"-1,529","2,498"
AL-02,-511,"-1,335","2,111"
AL-03,-510,"-1,344","2,155"
AL-04,-532,"-1,428","2,236"
AL-05,-661,"-1,667","2,813"
AL-06,-726,"-1,916","3,592"
AL-07,-422,"-1,085","1,717"
AR-01,-513,"-1,314","2,045"
AR-02,-617,"-1,496","2,564"
AR-03,-596,"-1,457","2,831"
AR-04,-511,"-1,286","2,015"
AZ-01,-909,"-1,949","4,337"
AZ-02,-646,"-1,462","2,461"
AZ-03,-479,"-1,091","1,584"
AZ-04,-808,"-1,759","3,165"
AZ-05,-839,"-1,877","3,299"
AZ-06,-684,"-1,517","2,621"
AZ-07,-560,"-1,257","1,943"
AZ-08,-810,"-1,755","3,255"
AZ-09,-670,"-1,469","2,439"
CA-01,-556,"-1,328","2,405"
CA-02,-389,-881,"3,003"
CA-03,-650,"-1,499","3,032"
CA-04,-558,"-1,289","2,566"
CA-05,-608,"-1,413","2,725"
CA-06,-557,"-1,300","2,365"
CA-07,-546,"-1,272","2,291"
CA-08,-566,"-1,313","3,081"
CA-09,-519,"-1,234","2,235"
CA-10,-628,"-1,472","3,620"
CA-11,-345,-769,"3,472"
CA-12,-539,"-1,246","3,107"
CA-13,-450,"-1,097","1,733"
CA-14,-914,"-2,219","5,117"
CA-15,-409,-967,"3,944"
CA-16,65,161,"4,185"
CA-17,"-1,131","-2,726","6,339"
CA-18,-635,"-1,456","3,197"
CA-19,-649,"-1,504","3,841"
CA-20,-482,"-1,176","1,984"
CA-21,-452,"-1,112","1,779"
CA-22,-439,"-1,066","1,649"
CA-23,-446,"-1,081","1,764"
CA-24,-504,"-1,153","2,690"
CA-25,-450,"-1,020","1,830"
CA-26,-494,"-1,140","2,771"
CA-27,-492,"-1,172","2,288"
CA-28,-546,"-1,226","2,797"
CA-29,-414,-955,"1,634"
CA-30,-471,"-1,033","2,745"
CA-31,-432,-994,"1,757"
CA-32,-414,-908,"2,908"
CA-33,-442,"-1,031","1,767"
CA-34,-419,-977,"1,594"
CA-35,-431,-986,"1,625"
