Congressional district,Change in tax revenues under OBBB ($ million),Average change in tax liabilities under OBBB ($),Average change in take-home pay under OBBB ($)
AK-00,-797,"-1,883","3,160"
AL-01,-617,"-1,563","2,537"
AL-02,-519,"-1,356","2,134"
AL-03,-520,"-1,369","2,186"
AL-04,-541,"-1,450","2,262"
AL-05,-675,"-1,701","2,854"
AL-06,-773,"-2,041","3,745"
AL-07,-431,"-1,109","1,745"
AR-01,-525,"-1,344","2,082"
AR-02,-644,"-1,564","2,646"
AR-03,-621,"-1,520","2,922"
AR-04,-522,"-1,313","2,050"
AZ-01,"-1,013","-2,173","4,603"
AZ-02,-659,"-1,490","2,495"
AZ-03,-486,"-1,108","1,604"
AZ-04,-850,"-1,850","3,270"
AZ-05,-867,"-1,940","3,371"
AZ-06,-702,"-1,556","2,667"
AZ-07,-568,"-1,274","1,962"
AZ-08,-853,"-1,848","3,362"
AZ-09,-681,"-1,493","2,467"
CA-01,-588,"-1,404","2,502"
CA-02,-681,"-1,545","3,866"
CA-03,-743,"-1,712","3,307"
CA-04,-635,"-1,466","2,797"
CA-05,-684,"-1,589","2,950"
CA-06,-602,"-1,404","2,499"
CA-07,-588,"-1,370","2,417"
CA-08,-758,"-1,759","3,663"
CA-09,-564,"-1,342","2,378"
CA-10,-892,"-2,089","4,430"
CA-11,-780,"-1,738","4,672"
CA-12,-786,"-1,818","3,849"
CA-13,-467,"-1,138","1,786"
CA-14,"-1,239","-3,008","6,153"
CA-15,-902,"-2,134","5,410"
CA-16,-695,"-1,715","6,523"
CA-17,"-1,547","-3,728","7,605"
CA-18,-787,"-1,805","3,643"
CA-19,-857,"-1,987","4,452"
CA-20,-514,"-1,253","2,083"
CA-21,-474,"-1,167","1,847"
CA-22,-456,"-1,107","1,701"
CA-23,-468,"-1,134","1,834"
CA-24,-634,"-1,449","3,083"
CA-25,-491,"-1,113","1,951"
CA-26,-664,"-1,531","3,287"
CA-27,-588,"-1,403","2,605"
CA-28,-712,"-1,602","3,296"
CA-29,-465,"-1,075","1,791"
CA-30,-715,"-1,567","3,442"
CA-31,-475,"-1,094","1,891"
CA-32,-725,"-1,588","3,795"
CA-33,-482,"-1,124","1,890"
CA-34,-465,"-1,087","1,734"
CA-35,-460,"-1,052","1,712"
CA-36,-542,"-1,225","4,403"
CA-37,-529,"-1,216","2,454"
CA-38,-557,"-1,280","2,395"
CA-39,-455,"-1,069","1,709"
CA-40,-871,"-2,019","4,256"
CA-41,-550,"-1,275","2,346"
CA-42,-460,"-1,078","1,799"
CA-43,-473,"-1,094","1,834"
CA-44,-432,"-1,010","1,770"
CA-45,-630,"-1,428","2,866"
CA-46,-496,"-1,138","1,941"
CA-47,-961,"-2,140","4,878"
CA-48,-653,"-1,517","2,877"
CA-49,-862,"-1,995","4,735"
CA-50,-864,"-1,951","4,085"
CA-51,-797,"-1,772","3,562"
CA-52,-502,"-1,097","1,822"
CO-01,-896,"-1,966","3,948"
CO-02,-924,"-2,179","4,461"
CO-03,-703,"-1,679","3,166"
CO-04,-851,"-2,025","3,775"
CO-05,-706,"-1,698","2,885"
CO-06,-829,"-1,939","3,637"
CO-07,-779,"-1,810","3,324"
CO-08,-777,"-1,816","3,255"
CT-01,-766,"-1,764","3,051"
CT-02,-812,"-1,895","3,339"
CT-03,-712,"-1,663","2,936"
CT-04,-894,"-2,187","6,113"
CT-05,-778,"-1,837","3,343"
DC-00,-701,"-1,632","3,632"
DE-00,-970,"-1,650","2,940"
FL-01,-830,"-1,871","3,242"
FL-02,-636,"-1,465","2,407"
FL-03,-679,"-1,568","2,616"
FL-04,-698,"-1,585","2,699"
FL-05,-988,"-2,177","4,104"
