Congressional district,Change in tax revenues under OBBB ($ million),Average change in tax liabilities under OBBB ($),Average change in take-home pay under OBBB ($)
AK-00,-149,"-4,763","6,729"
AL-01,-120,"-3,518","5,073"
AL-02,-103,"-2,987","4,134"
AL-03,-111,"-3,024","4,271"
AL-04,-112,"-3,079","4,287"
AL-05,-132,"-3,841","5,770"
AL-06,-166,"-4,820","7,725"
AL-07,-88,"-2,565","3,600"
AR-01,-109,"-2,900","4,001"
AR-02,-125,"-3,562","5,400"
AR-03,-132,"-3,541","5,972"
AR-04,-104,"-2,823","3,914"
AZ-01,-204,"-5,797","10,447"
AZ-02,-126,"-3,255","4,637"
AZ-03,-99,"-2,533","3,395"
AZ-04,-178,"-4,614","7,299"
AZ-05,-181,"-4,737","7,375"
AZ-06,-127,"-3,521","5,138"
AZ-07,-102,"-2,872","3,921"
AZ-08,-162,"-4,564","7,270"
AZ-09,-125,"-3,388","4,863"
CA-01,-120,"-3,309","5,055"
CA-02,-148,"-4,271","9,126"
CA-03,-160,"-4,591","7,633"
CA-04,-130,"-3,900","6,370"
CA-05,-148,"-4,099","6,638"
CA-06,-127,"-3,612","5,668"
CA-07,-123,"-3,491","5,452"
CA-08,-173,"-5,035","9,122"
CA-09,-125,"-3,372","5,255"
CA-10,-224,"-6,064","11,167"
CA-11,-139,"-4,552","12,653"
CA-12,-181,"-5,094","9,504"
CA-13,-103,"-2,645","3,770"
CA-14,-334,"-8,506","15,295"
CA-15,-216,"-5,845","13,726"
CA-16,-155,"-3,980","15,763"
CA-17,-424,"-10,461","19,185"
CA-18,-181,"-5,125","9,153"
CA-19,-205,"-5,686","11,000"
CA-20,-114,"-2,925","4,376"
CA-21,-104,"-2,674","3,824"
CA-22,-103,"-2,535","3,558"
CA-23,-104,"-2,728","3,933"
CA-24,-129,"-3,777","6,693"
CA-25,-91,"-2,865","4,212"
CA-26,-144,"-4,377","8,126"
CA-27,-138,"-3,957","6,479"
CA-28,-147,"-4,958","8,890"
CA-29,-94,"-2,898","4,367"
CA-30,-139,"-4,491","8,883"
CA-31,-93,"-3,032","4,643"
CA-32,-156,"-4,574","9,771"
CA-33,-103,"-2,956","4,441"
CA-34,-95,"-2,692","3,910"
CA-35,-96,"-2,759","4,016"
CA-36,-108,"-3,323","10,935"
CA-37,-108,"-3,220","5,942"
CA-38,-116,"-3,710","6,049"
CA-39,-99,"-2,694","3,855"
CA-40,-207,"-5,939","10,877"
