Congressional district,Share of filers benefitting from Reform 1 (%),Share of filers itemizing under Reform 1 (%),Share of filers benefitting from Reform 2 (%),Share of filers itemizing under Reform 2 (%),Share of filers benefitting from Reform 3 (%),Share of filers itemizing under Reform 3 (%),Share of filers benefitting from Reform 4 (%),Share of filers itemizing under Reform 4 (%)
AK-00,1.5,5.5,1.8,5.5,1.9,5.6,1.9,5.6
AL-01,1.5,4.3,2.1,4.6,2.2,4.7,2.2,4.7
AL-02,0.9,2.9,1.2,3.1,1.3,3.2,1.3,3.2
AL-03,1.5,4.1,2.0,4.3,2.1,4.4,2.1,4.4
AL-04,1.1,2.9,1.5,3.1,1.6,3.2,1.6,3.2
AL-05,2.2,5.6,2.9,5.9,3.0,6.0,3.0,6.0
AL-06,4.4,7.8,6.3,8.7,6.6,9.0,6.6,9.0
AL-07,1.1,3.5,1.6,3.8,1.7,3.8,1.7,3.8
AR-01,1.1,2.9,1.6,3.2,1.8,3.3,1.8,3.3
AR-02,2.5,5.7,3.6,6.2,3.8,6.3,3.8,6.3
AR-03,2.8,5.4,3.9,5.9,4.0,6.1,4.0,6.1
AR-04,1.1,3.0,1.6,3.3,1.7,3.4,1.7,3.4
AZ-01,5.9,13.1,8.8,14.1,9.1,14.4,9.1,14.4
AZ-02,1.8,5.7,2.5,6.0,2.6,6.1,2.6,6.1
AZ-03,0.7,2.8,1.0,2.9,1.1,3.0,1.1,3.0
AZ-04,3.5,9.0,5.0,9.5,5.1,9.6,5.1,9.6
AZ-05,3.8,9.5,5.0,10.0,5.1,10.1,5.1,10.2
AZ-06,2.0,6.0,2.8,6.3,2.9,6.4,2.9,6.4
AZ-07,1.0,3.7,1.4,3.8,1.4,3.8,1.4,3.8
AZ-08,3.4,9.2,4.8,9.7,4.9,9.9,4.9,9.9
AZ-09,1.8,6.1,2.5,6.3,2.5,6.4,2.5,6.4
CA-01,4.5,10.4,7.3,11.3,7.8,11.7,7.8,11.7
CA-02,10.9,21.2,19.8,24.6,21.4,26.2,21.4,26.3
CA-03,8.6,16.3,14.0,18.4,14.9,19.2,14.9,19.3
CA-04,7.5,15.8,13.5,17.9,14.4,18.7,14.4,18.8
CA-05,7.4,14.2,12.0,15.9,12.8,16.6,12.8,16.7
CA-06,5.9,14.0,10.5,15.3,11.0,15.8,11.0,15.9
CA-07,5.6,13.5,10.0,14.8,10.5,15.3,10.6,15.3
CA-08,10.6,20.2,18.8,23.3,20.2,24.6,20.2,24.7
CA-09,6.3,12.8,10.7,14.4,11.3,14.9,11.4,15.0
CA-10,13.1,23.1,22.7,27.0,24.2,28.5,24.3,28.6
CA-11,9.8,23.2,23.9,27.5,26.3,29.9,26.3,29.9
