Congressional district,Change in tax revenues if TCJA is extended ($ million),Average decrease in tax liabilities if TCJA is extended ($),Average increase in take-home pay if TCJA is extended ($)
AK-00,-652,"1,541","2,688"
AL-01,-488,"1,237","2,092"
AL-02,-387,"1,011","1,689"
AL-03,-382,"1,005","1,713"
AL-04,-411,"1,104","1,806"
AL-05,-516,"1,300","2,319"
AL-06,-609,"1,609","3,062"
AL-07,-318,817,"1,362"
AR-01,-382,978,"1,615"
AR-02,-487,"1,182","2,119"
AR-03,-469,"1,148","2,343"
AR-04,-377,948,"1,576"
AZ-01,-770,"1,650","3,804"
AZ-02,-467,"1,056","1,912"
AZ-03,-361,823,"1,263"
AZ-04,-661,"1,439","2,713"
AZ-05,-658,"1,473","2,751"
AZ-06,-504,"1,118","2,081"
AZ-07,-417,936,"1,536"
AZ-08,-630,"1,366","2,701"
AZ-09,-490,"1,076","1,913"
CA-01,-362,864,"1,760"
CA-02,-114,258,"2,050"
CA-03,-390,898,"2,178"
CA-04,-315,726,"1,793"
CA-05,-374,870,"1,969"
CA-06,-347,809,"1,719"
CA-07,-340,792,"1,665"
CA-08,-265,615,"2,099"
CA-09,-306,728,"1,548"
CA-10,-274,641,"2,445"
CA-11,-36,81,"2,414"
CA-12,-190,440,"2,024"
CA-13,-302,734,"1,278"
CA-14,-439,"1,066","3,560"
CA-15,-13,30,"2,645"
CA-16,427,"-1,053","2,831"
CA-17,-637,"1,534","4,683"
CA-18,-341,782,"2,295"
CA-19,-355,823,"2,877"
CA-20,-318,775,"1,468"
CA-21,-311,766,"1,339"
CA-22,-295,715,"1,215"
CA-23,-278,673,"1,237"
CA-24,-264,603,"1,897"
CA-25,-262,594,"1,268"
CA-26,-245,566,"1,923"
CA-27,-229,546,"1,455"
CA-28,-299,671,"1,990"
CA-29,-237,546,"1,118"
CA-30,-252,551,"2,037"
CA-31,-237,546,"1,173"
CA-32,-185,404,"2,137"
CA-33,-258,602,"1,211"
CA-34,-266,620,"1,153"
CA-35,-244,559,"1,084"
CA-36,36,-82,"2,411"
CA-37,-213,489,"1,483"
CA-38,-251,578,"1,434"
CA-39,-259,609,"1,126"
CA-40,-332,770,"2,521"
CA-41,-246,570,"1,387"
CA-42,-232,543,"1,107"
CA-43,-225,521,"1,099"
CA-44,-202,472,"1,064"
CA-45,-261,592,"1,701"
CA-46,-268,614,"1,257"
CA-47,-498,"1,108","3,374"
CA-48,-297,690,"1,749"
CA-49,-243,563,"2,678"
CA-50,-337,762,"2,459"
CA-51,-330,734,"2,158"
CA-52,-291,636,"1,218"
CO-01,-634,"1,391","3,106"
CO-02,-671,"1,582","3,574"
CO-03,-537,"1,282","2,574"
CO-04,-620,"1,477","3,025"
CO-05,-528,"1,272","2,329"
CO-06,-603,"1,411","2,925"
CO-07,-571,"1,326","2,666"
CO-08,-569,"1,331","2,611"
CT-01,-524,"1,207","2,292"
CT-02,-554,"1,293","2,496"
CT-03,-451,"1,055","2,131"
CT-04,-296,724,"3,951"
CT-05,-508,"1,198","2,450"
DC-00,-284,662,"2,266"
DE-00,-684,"1,163","2,232"
FL-01,-687,"1,549","2,772"
FL-02,-495,"1,140","1,967"
FL-03,-530,"1,223","2,149"
FL-04,-552,"1,254","2,252"
FL-05,-821,"1,809","3,552"
FL-06,-567,"1,240","2,221"
FL-07,-673,"1,483","2,712"
FL-08,-678,"1,469","2,860"
FL-09,-504,"1,100","1,860"
FL-10,-628,"1,397","2,504"
FL-11,-557,"1,231","2,159"
FL-12,-596,"1,301","2,319"
FL-13,-689,"1,487","2,771"
FL-14,-727,"1,577","2,989"
FL-15,-638,"1,406","2,507"
FL-16,-753,"1,628","3,256"
FL-17,-679,"1,489","2,874"
FL-18,-522,"1,143","2,011"
FL-19,"-1,023","2,189","4,869"
FL-20,-527,"1,160","2,030"
FL-21,-851,"1,829","4,063"
FL-22,-736,"1,595","3,730"
FL-23,-956,"2,077","4,320"
FL-24,-463,998,"1,916"
FL-25,-718,"1,601","3,122"
FL-26,-515,"1,106","2,044"
FL-27,-720,"1,576","3,835"
FL-28,-454,994,"1,762"
GA-01,-426,"1,014","1,849"
GA-02,-308,750,"1,287"
GA-03,-453,"1,056","1,938"
GA-04,-478,"1,096","2,176"
GA-05,-502,"1,118","2,708"
GA-06,-711,"1,666","3,608"
GA-07,-501,"1,171","2,290"
GA-08,-375,914,"1,594"
GA-09,-492,"1,143","2,131"
GA-10,-463,"1,088","2,009"
GA-11,-645,"1,478","3,186"
GA-12,-368,896,"1,567"
GA-13,-332,746,"1,393"
GA-14,-382,924,"1,566"
HI-01,-374,892,"1,971"
HI-02,-355,864,"1,811"
IA-01,-556,"1,258","2,176"
IA-02,-596,"1,342","2,254"
IA-03,-634,"1,395","2,468"
IA-04,-588,"1,335","2,288"
ID-01,-712,"1,348","2,530"
ID-02,-615,"1,221","2,306"
IL-01,-400,939,"1,690"
IL-02,-343,795,"1,341"
IL-03,-514,"1,219","2,453"
IL-04,-454,"1,092","2,029"
IL-05,-640,"1,443","3,556"
IL-06,-592,"1,368","2,650"
IL-07,-352,814,"2,229"
IL-08,-602,"1,385","2,676"
IL-09,-680,"1,555","3,740"
IL-10,-768,"1,811","4,044"
IL-11,-622,"1,441","2,721"
IL-12,-487,"1,172","1,912"
IL-13,-505,"1,206","2,019"
IL-14,-587,"1,360","2,495"
IL-15,-554,"1,317","2,244"
IL-16,-564,"1,311","2,248"
IL-17,-476,"1,118","1,848"
IN-01,-524,"1,209","2,031"
IN-02,-537,"1,260","2,124"
IN-03,-583,"1,350","2,278"
IN-04,-526,"1,230","2,080"
IN-05,-737,"1,693","3,182"
IN-06,-469,"1,098","1,784"
IN-07,-483,"1,117","1,915"
IN-08,-524,"1,226","2,012"
IN-09,-525,"1,232","2,038"
KS-01,-463,"1,150","1,920"
KS-02,-508,"1,249","2,155"
KS-03,-678,"1,628","3,236"
KS-04,-473,"1,152","2,028"
KY-01,-397,998,"1,612"
KY-02,-439,"1,074","1,764"
KY-03,-472,"1,085","2,007"
KY-04,-557,"1,333","2,345"
KY-05,-330,893,"1,361"
KY-06,-471,"1,137","1,960"
LA-01,-663,"1,559","2,806"
LA-02,-362,862,"1,422"
LA-03,-536,"1,302","2,130"
LA-04,-421,"1,029","1,731"
LA-05,-437,"1,092","1,771"
LA-06,-610,"1,447","2,485"
MA-01,-533,"1,135","2,057"
MA-02,-564,"1,226","2,592"
MA-03,-608,"1,326","2,770"
MA-04,-745,"1,654","4,486"
MA-05,-712,"1,575","4,207"
MA-06,-655,"1,411","3,294"
MA-07,-466,"1,022","2,306"
MA-08,-632,"1,326","3,179"
MA-09,-599,"1,243","2,721"
MD-01,-376,842,"1,964"
MD-02,-296,662,"1,814"
MD-03,-250,554,"1,711"
MD-04,-90,196,"1,051"
MD-05,-78,168,"1,061"
MD-06,-354,787,"2,250"
MD-07,-285,640,"1,756"
MD-08,-384,851,"2,742"
ME-01,-538,"1,256","2,431"
ME-02,-431,"1,088","1,822"
MI-01,-528,"1,167","2,059"
MI-02,-549,"1,245","2,138"
