,single_amount,rate_adjust,diff,rate_adjust_pc_pt
0,0.0,-0.0113,-0.0015321079635844728,-1.13
1,100.0,-0.0112,-0.0012741569753632813,-1.1199999999999999
2,200.0,-0.0111,-0.0010615094358359376,-1.11
3,300.0,-0.011000000000000001,-0.0008565356021909177,-1.1
4,400.0,-0.010900000000000002,-0.0006662075915624999,-1.09
5,500.0,-0.010799999999999999,-0.0004974010734477536,-1.0799999999999998
6,600.0,-0.0107,-0.0003274911215156249,-1.0699999999999998
7,700.0,-0.0106,-0.00012425975852539076,-1.06
8,800.0,-0.0106,-0.0022622806692480465,-1.06
9,900.0,-0.0105,-0.002135816449568848,-1.05
10,1000.0,-0.010400000000000001,-0.0019776729138242187,-1.04
11,1100.0,-0.010299999999999998,-0.0018780675167099608,-1.0299999999999998
12,1200.0,-0.010199999999999999,-0.0017535432066176754,-1.0199999999999998
13,1300.0,-0.0101,-0.0016595680044848627,-1.01
14,1400.0,-0.01,-0.0015545751868173826,-1.0
15,1500.0,-0.0099,-0.0014790480743818361,-0.9900000000000001
16,1600.0,-0.009799999999999998,-0.0014789124680625,-0.9799999999999998
17,1700.0,-0.009699999999999999,-0.001448422178356934,-0.9699999999999999
18,1800.0,-0.0096,-0.0014121958415673833,-0.96
19,1900.0,-0.0095,-0.001432444319281738,-0.95
20,2000.0,-0.0094,-0.0014342024046166992,-0.9400000000000001
21,2100.0,-0.009300000000000001,-0.0014419513742792967,-0.93
22,2200.0,-0.009199999999999998,-0.0014667905180917968,-0.9199999999999998
23,2300.0,-0.009099999999999999,-0.00153727188313916,-0.9099999999999999
24,2400.0,-0.009,-0.001572170265254883,-0.8999999999999999
25,2500.0,-0.0089,-0.0016683074826547852,-0.89
26,2600.0,-0.0088,-0.0017640505789082031,-0.88
27,2700.0,-0.008699999999999998,-0.0018683792280546872,-0.8699999999999998
28,2800.0,-0.008599999999999998,-0.0019467447083608396,-0.8599999999999999
29,2900.0,-0.008499999999999999,-0.0020861041341801753,-0.8499999999999999
30,3000.0,-0.0084,-0.0022500298867924803,-0.84
31,3100.0,-0.0082,-6.640862114257813e-05,-0.8200000000000001
32,3200.0,-0.008099999999999998,-0.0002613820679492188,-0.8099999999999998
33,3300.0,-0.008,-0.0004068931356406249,-0.8
34,3400.0,-0.0079,-0.0005513627342241209,-0.79
35,3500.0,-0.007800000000000002,-0.0006994820955156252,-0.7800000000000002
36,3600.0,-0.007699999999999999,-0.0008829291621035158,-0.7699999999999999
37,3700.0,-0.0076,-0.0011796388054633787,-0.76
38,3800.0,-0.007500000000000001,-0.0014513100371113283,-0.7500000000000001
39,3900.0,-0.007400000000000001,-0.0017195639331035154,-0.7400000000000001
40,4000.0,-0.007300000000000002,-0.0019958726825263667,-0.7300000000000002
41,4100.0,-0.007200000000000002,-0.0022695594391953125,-0.7200000000000002
42,4200.0,-0.006999999999999999,-0.0002091520998691404,-0.7
43,4300.0,-0.0069,-0.0004997829304809571,-0.69
44,4400.0,-0.0068000000000000005,-0.0007804518795756835,-0.68
45,4500.0,-0.006700000000000001,-0.0011284407274541016,-0.6700000000000002
46,4600.0,-0.006600000000000002,-0.0015003000865810546,-0.6600000000000001
47,4700.0,-0.006500000000000001,-0.0017828218022812497,-0.65
48,4800.0,-0.0063999999999999994,-0.00213712652734668,-0.6399999999999999
49,4900.0,-0.0062,-0.0001687012438676759,-0.62
50,5000.0,-0.0061,-0.000494232375921875,-0.61
51,5100.0,-0.006000000000000001,-0.0008780416320688475,-0.6000000000000001
52,5200.0,-0.0059,-0.001246575426914551,-0.59
53,5300.0,-0.0058000000000000005,-0.0016837100340927737,-0.5800000000000001
54,5400.0,-0.0057,-0.002059682355472168,-0.5700000000000001
55,5500.0,-0.005500000000000002,-0.00011460519988427733,-0.5500000000000003
56,5600.0,-0.005400000000000003,-0.0005478275015532228,-0.5400000000000003
57,5700.0,-0.005300000000000003,-0.0009802881378007812,-0.5300000000000002
58,5800.0,-0.005200000000000002,-0.0013882575447397463,-0.5200000000000002
59,5900.0,-0.005100000000000003,-0.0018257661039301754,-0.5100000000000003
60,6000.0,-0.005000000000000003,-0.002276647618940918,-0.5000000000000002
61,6100.0,-0.004800000000000002,-0.00038360870049365225,-0.4800000000000002
62,6200.0,-0.004700000000000001,-0.0008402361247446288,-0.4700000000000001
63,6300.0,-0.004600000000000002,-0.0013172951440468751,-0.4600000000000002
64,6400.0,-0.0045000000000000005,-0.0018096837042539061,-0.45000000000000007
65,6500.0,-0.0044,-0.0022442731538564456,-0.44
66,6600.0,-0.0042,-0.0003815645192880861,-0.42
67,6700.0,-0.0040999999999999995,-0.0008074446319428712,-0.4099999999999999
68,6800.0,-0.003999999999999998,-0.0013071384238315432,-0.39999999999999986
69,6900.0,-0.0038999999999999985,-0.0017976536383251954,-0.38999999999999985
70,7000.0,-0.003699999999999999,-2.0009942499998976e-06,-0.3699999999999999
71,7100.0,-0.0035999999999999986,-0.0005034766313422852,-0.3599999999999999
72,7200.0,-0.0034999999999999983,-0.0009994246971708983,-0.3499999999999998
73,7300.0,-0.003399999999999999,-0.0014709464833554686,-0.3399999999999999
74,7400.0,-0.0032999999999999987,-0.0020508598625200197,-0.32999999999999985
75,7500.0,-0.0030999999999999986,-0.00023769354043359363,-0.30999999999999983
76,7600.0,-0.002999999999999999,-0.00071738202842334,-0.29999999999999993
77,7700.0,-0.002899999999999999,-0.0012838064837778318,-0.28999999999999987
78,7800.0,-0.0027999999999999987,-0.0018189231919257813,-0.27999999999999986
79,7900.0,-0.0025999999999999986,-2.7315907916015757e-05,-0.25999999999999984
80,8000.0,-0.002499999999999999,-0.0005178013147065429,-0.24999999999999992
81,8100.0,-0.0024,-0.0011162390651660156,-0.24
82,8200.0,-0.002299999999999999,-0.0017097696456049804,-0.2299999999999999
83,8300.0,-0.0021999999999999997,-0.0022404554732885743,-0.21999999999999997
84,8400.0,-0.001999999999999999,-0.0004424589612758789,-0.19999999999999993
85,8500.0,-0.0018999999999999996,-0.0009606564505634766,-0.18999999999999995
86,8600.0,-0.0018000000000000004,-0.0014676057041889646,-0.18000000000000005
87,8700.0,-0.0016999999999999993,-0.00203556226289209,-0.16999999999999993
88,8800.0,-0.0014999999999999998,-0.00025501833964208993,-0.15
89,8900.0,-0.0014000000000000004,-0.0008018979532910157,-0.14000000000000004
90,9000.0,-0.0012999999999999993,-0.0013500180630219725,-0.12999999999999992
91,9100.0,-0.0012,-0.0019349951747319335,-0.12
92,9200.0,-0.0010000000000000005,-0.00018452713818017577,-0.10000000000000005
93,9300.0,-0.0008999999999999993,-0.0007293517252084961,-0.08999999999999993
94,9400.0,-0.0007999999999999999,-0.001325395163804199,-0.07999999999999999
95,9500.0,-0.0007000000000000005,-0.001838749129435547,-0.07000000000000005
96,9600.0,-0.0004999999999999994,-7.741483156005862e-05,-0.04999999999999993
97,9700.0,-0.0003999999999999999,-0.0006046000310283202,-0.039999999999999994
98,9800.0,-0.0003000000000000005,-0.0011463982792734374,-0.03000000000000005
99,9900.0,-0.00019999999999999939,-0.0017212566426240232,-0.019999999999999938
100,10000.0,-1.8973538018496328e-19,0.0,-1.8973538018496328e-17
