,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034
tcja_ext,0.0,-220.1858945275215,-228.17923677955568,-236.52494761073928,-231.03755207807814,-238.81236905285255,-247.13676809382815,-255.64016181399123,-264.16390246388676,-273.3031873242696,-2194.984019744723
rt1_1,0.0,-20.25109470261133,-21.00220444306836,-21.71221758206543,-22.41795239702539,-22.8741508687334,-23.92622798696094,-24.585707675763672,-25.506318628516603,-26.28163306424512,-208.55750734899024
rt1_2,0.0,-20.18888993263965,-20.65140794010254,-21.653147596437503,-22.347410266888673,-23.124707819979495,-23.898268455451174,-24.65767138124219,-25.471899236875,-26.218270243829103,-208.21167287344534
rt1_3,0.0,-20.092987719774417,-20.852822719939454,-21.548190278520508,-22.048974405413087,-22.672777925902345,-23.764777193454105,-24.543048977804688,-25.281814679453127,-26.11921619981543,-206.92461010007716
rt1_4,0.0,-20.024510961194338,-20.759432199047854,-21.43812145202051,-22.111961840863284,-22.900138667500002,-23.65611530582422,-24.430536969175783,-25.019850753379885,-25.998825044882814,-206.33949319388867
rt1_5,0.0,-19.90543849529346,-20.610393528345703,-21.318582263318362,-22.05112752974512,-22.483329625091798,-23.553446242999026,-24.29643238954004,-25.014580724646486,-25.82509046105762,-205.05842126003762
rt1_6,0.0,-19.706411215835452,-20.47048513042334,-21.172761617552737,-21.866641636419924,-22.56853266151367,-23.184881889081055,-24.079275786749026,-24.834015582109377,-25.586499689669925,-203.4695052093545
rt1_7,0.0,-19.467339133875978,-20.23804814568506,-20.942201453378907,-21.674610238214846,-22.380717198550784,-23.1090933745459,-23.802803397628907,-24.337340683079102,-25.345970384412112,-201.2981240093716
rt1_8,0.0,-19.300547434194826,-20.02070723012256,-20.68157781779297,-21.37308342089453,-22.12991011096973,-22.580375612603518,-23.572436551695315,-24.316564490647462,-25.13068642943555,-199.10588909835647
rt1_9,0.0,-18.71621621085889,-19.823410682575197,-20.500248666780276,-21.160885908205078,-21.869904991539062,-22.609041532692384,-23.318996231427736,-24.049648787554688,-24.86170578982715,-196.91005880146045
rt1_10,0.0,-18.8628243264834,-19.548657617128907,-19.94019615445996,-20.98955372744336,-21.68347953127051,-22.052218877092773,-23.06065340831641,-23.88527834825391,-24.551570994908204,-194.57443298535745
rt1_11,0.0,-192.17253800293508,-199.4627154273169,-207.1294517284546,-214.20783621741407,-221.9289692053164,-229.5133492884297,-237.0572816301709,-246.1646005663506,-253.94785074354786,-2001.584592809936
Total,0.0,-608.8746926632183,-631.6195218433115,-654.5616442215211,-663.2875896666055,-685.4289876592197,-708.9845638529629,-733.0450062135059,-758.045814944753,-783.1705063699004,-6227.018327434998
