,single_amount,sub,cg,ctc_adjust,ctc_adjust_r5,ctc_adjust_r10
0,0.0,0.25,-3.45,511,510,510
1,100.0,0.25,-3.45,507,505,510
2,200.0,0.25,-3.45,502,500,500
3,300.0,0.25,-3.45,498,500,500
4,400.0,0.25,-3.45,494,495,490
5,500.0,0.25,-3.45,489,490,490
6,600.0,0.25,-3.45,485,485,480
7,700.0,0.25,-3.45,480,480,480
8,800.0,0.25,-3.45,476,475,480
9,900.0,0.25,-3.45,471,470,470
10,1000.0,0.25,-3.45,467,465,470
11,1100.0,0.25,-3.45,462,460,460
12,1200.0,0.25,-3.45,457,455,460
13,1300.0,0.25,-3.45,453,455,450
14,1400.0,0.25,-3.45,448,450,450
15,1500.0,0.25,-3.45,444,445,440
16,1600.0,0.25,-3.45,439,440,440
17,1700.0,0.25,-3.45,434,435,430
18,1800.0,0.25,-3.45,430,430,430
19,1900.0,0.25,-3.45,425,425,420
20,2000.0,0.25,-3.45,420,420,420
21,2100.0,0.25,-3.45,415,415,420
22,2200.0,0.25,-3.45,411,410,410
23,2300.0,0.25,-3.45,406,405,410
24,2400.0,0.25,-3.45,401,400,400
25,2500.0,0.25,-3.45,396,395,400
26,2600.0,0.25,-3.45,391,390,390
27,2700.0,0.25,-3.45,386,385,390
28,2800.0,0.25,-3.45,381,380,380
29,2900.0,0.25,-3.45,376,375,380
30,3000.0,0.25,-3.45,371,370,370
31,3100.0,0.25,-3.45,366,365,370
32,3200.0,0.25,-3.45,361,360,360
33,3300.0,0.25,-3.45,356,355,360
34,3400.0,0.25,-3.45,351,350,350
35,3500.0,0.25,-3.45,346,345,350
36,3600.0,0.25,-3.45,341,340,340
37,3700.0,0.25,-3.45,336,335,340
38,3800.0,0.25,-3.45,331,330,330
39,3900.0,0.25,-3.45,326,325,330
40,4000.0,0.25,-3.45,320,320,320
41,4100.0,0.25,-3.45,315,315,320
42,4200.0,0.25,-3.45,310,310,310
43,4300.0,0.25,-3.45,305,305,300
44,4400.0,0.25,-3.45,299,300,300
45,4500.0,0.25,-3.45,294,295,290
46,4600.0,0.25,-3.45,289,290,290
47,4700.0,0.25,-3.45,284,285,280
48,4800.0,0.25,-3.45,278,280,280
49,4900.0,0.25,-3.45,273,275,270
50,5000.0,0.25,-3.45,268,270,270
51,5100.0,0.25,-3.45,262,260,260
52,5200.0,0.25,-3.45,257,255,260
53,5300.0,0.25,-3.45,252,250,250
54,5400.0,0.25,-3.45,246,245,250
55,5500.0,0.25,-3.45,241,240,240
56,5600.0,0.25,-3.45,236,235,240
57,5700.0,0.25,-3.45,230,230,230
58,5800.0,0.25,-3.45,225,225,230
59,5900.0,0.25,-3.45,220,220,220
60,6000.0,0.25,-3.45,214,215,210
61,6100.0,0.25,-3.45,209,210,210
62,6200.0,0.25,-3.45,204,205,200
63,6300.0,0.25,-3.45,198,200,200
64,6400.0,0.25,-3.45,193,195,190
65,6500.0,0.25,-3.45,187,185,190
66,6600.0,0.25,-3.45,182,180,180
67,6700.0,0.25,-3.45,177,175,180
68,6800.0,0.25,-3.45,171,170,170
69,6900.0,0.25,-3.45,166,165,170
70,7000.0,0.25,-3.45,160,160,160
71,7100.0,0.25,-3.45,155,155,150
72,7200.0,0.25,-3.45,150,150,150
73,7300.0,0.25,-3.45,144,145,140
74,7400.0,0.25,-3.45,139,140,140
75,7500.0,0.25,-3.45,134,135,130
76,7600.0,0.25,-3.45,128,130,130
77,7700.0,0.25,-3.45,123,125,120
78,7800.0,0.25,-3.45,118,120,120
79,7900.0,0.25,-3.45,112,110,110
80,8000.0,0.25,-3.45,107,105,110
81,8100.0,0.25,-3.45,101,100,100
82,8200.0,0.25,-3.45,96,95,100
83,8300.0,0.25,-3.45,91,90,90
84,8400.0,0.25,-3.45,86,85,90
85,8500.0,0.25,-3.45,80,80,80
86,8600.0,0.25,-3.45,75,75,70
87,8700.0,0.25,-3.45,69,70,70
88,8800.0,0.25,-3.45,64,65,60
89,8900.0,0.25,-3.45,59,60,60
90,9000.0,0.25,-3.45,53,55,50
91,9100.0,0.25,-3.45,48,50,50
92,9200.0,0.25,-3.45,43,45,40
93,9300.0,0.25,-3.45,37,35,40
94,9400.0,0.25,-3.45,32,30,30
95,9500.0,0.25,-3.45,27,25,30
96,9600.0,0.25,-3.45,21,20,20
97,9700.0,0.25,-3.45,16,15,20
98,9800.0,0.25,-3.45,11,10,10
99,9900.0,0.25,-3.45,5,5,10
100,10000.0,0.25,-3.45,0,0,0
