,single_amount,sub,cg,year,base_itemizers,base_households,reform_itemizers,reform_households,base_ratio,base_ratio_diff,reform_ratio,reform_ratio_diff
0,0,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
1,0,0.25,-3.45,2026,16003404.98,192503918.12,7759543.82,192503918.12,0.08313287924884757,0.001958633857583894,0.040308498111518855,-0.040865747279744825
2,0,0.25,-3.45,2035,20055911.78,200923107.71,11035269.18,200923107.71,0.09981884119046906,0.018644595799205382,0.05492284738063889,-0.026251398010624788
3,100,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
4,100,0.25,-3.45,2026,16003404.98,192503918.12,7868937.19,192503918.12,0.08313287924884757,0.001958633857583894,0.04087676379186624,-0.04029748159939744
5,100,0.25,-3.45,2035,20055911.78,200923107.71,11131214.3,200923107.71,0.09981884119046906,0.018644595799205382,0.055400368961374555,-0.025773876429889125
6,200,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
7,200,0.25,-3.45,2026,16003404.98,192503918.12,7944371.47,192503918.12,0.08313287924884757,0.001958633857583894,0.04126862220564137,-0.03990562318562231
8,200,0.25,-3.45,2035,20055911.78,200923107.71,11277009.88,200923107.71,0.09981884119046906,0.018644595799205382,0.0561259976939862,-0.02504824769727748
9,300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
10,300,0.25,-3.45,2026,16003404.98,192503918.12,8061097.29,192503918.12,0.08313287924884757,0.001958633857583894,0.041874977760063055,-0.039299267631200625
11,300,0.25,-3.45,2035,20055911.78,200923107.71,11386657.14,200923107.71,0.09981884119046906,0.018644595799205382,0.05667171521373638,-0.0245025301775273
12,400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
13,400,0.25,-3.45,2026,16003404.98,192503918.12,8170264.3100000005,192503918.12,0.08313287924884757,0.001958633857583894,0.042442067620187096,-0.038732177771076584
14,400,0.25,-3.45,2035,20055911.78,200923107.71,11508070.93,200923107.71,0.09981884119046906,0.018644595799205382,0.05727599508668778,-0.023898250304575902
15,500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
16,500,0.25,-3.45,2026,16003404.98,192503918.12,8262624.92,192503918.12,0.08313287924884757,0.001958633857583894,0.042921853231316455,-0.038252392159947225
17,500,0.25,-3.45,2035,20055911.78,200923107.71,11593002.03,200923107.71,0.09981884119046906,0.018644595799205382,0.05769869957781373,-0.023475545813449954
18,600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
19,600,0.25,-3.45,2026,16003404.98,192503918.12,8362408.45,192503918.12,0.08313287924884757,0.001958633857583894,0.04344019868098049,-0.037734046710283194
20,600,0.25,-3.45,2035,20055911.78,200923107.71,11726807.83,200923107.71,0.09981884119046906,0.018644595799205382,0.058364654835648615,-0.022809590555615065
21,700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
22,700,0.25,-3.45,2026,16003404.98,192503918.12,8464996.46,192503918.12,0.08313287924884757,0.001958633857583894,0.04397311256139331,-0.03720113282987037
23,700,0.25,-3.45,2035,20055911.78,200923107.71,11846805.26,200923107.71,0.09981884119046906,0.018644595799205382,0.058961885444749076,-0.022212359946514604
24,800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
25,800,0.25,-3.45,2026,16003404.98,192503918.12,8558408.31,192503918.12,0.08313287924884757,0.001958633857583894,0.044458359048385694,-0.036715886342877986
26,800,0.25,-3.45,2035,20055911.78,200923107.71,11959295.67,200923107.71,0.09981884119046906,0.018644595799205382,0.059521753402606674,-0.021652491988657006
27,900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
28,900,0.25,-3.45,2026,16003404.98,192503918.12,8664538.33,192503918.12,0.08313287924884757,0.001958633857583894,0.04500967260624191,-0.03616457278502177
29,900,0.25,-3.45,2035,20055911.78,200923107.71,12074419.75,200923107.71,0.09981884119046906,0.018644595799205382,0.06009472921067631,-0.02107951618058737
