,single_amount,sub,cg,sd_adjust,sd_adjust_r5,sd_adjust_r10
0,0.0,0.25,-3.45,851,850,850
1,100.0,0.25,-3.45,841,840,840
2,200.0,0.25,-3.45,831,830,830
3,300.0,0.25,-3.45,822,820,820
4,400.0,0.25,-3.45,812,810,810
5,500.0,0.25,-3.45,802,800,800
6,600.0,0.25,-3.45,792,790,790
7,700.0,0.25,-3.45,782,780,780
8,800.0,0.25,-3.45,772,770,770
9,900.0,0.25,-3.45,761,760,760
10,1000.0,0.25,-3.45,751,750,750
11,1100.0,0.25,-3.45,740,740,740
12,1200.0,0.25,-3.45,729,730,730
13,1300.0,0.25,-3.45,718,720,720
14,1400.0,0.25,-3.45,708,710,710
15,1500.0,0.25,-3.45,696,695,700
16,1600.0,0.25,-3.45,685,685,680
17,1700.0,0.25,-3.45,673,675,670
18,1800.0,0.25,-3.45,662,660,660
19,1900.0,0.25,-3.45,650,650,650
20,2000.0,0.25,-3.45,638,640,640
21,2100.0,0.25,-3.45,626,625,630
22,2200.0,0.25,-3.45,614,615,610
23,2300.0,0.25,-3.45,602,600,600
24,2400.0,0.25,-3.45,589,590,590
25,2500.0,0.25,-3.45,577,575,580
26,2600.0,0.25,-3.45,564,565,560
27,2700.0,0.25,-3.45,551,550,550
28,2800.0,0.25,-3.45,538,540,540
29,2900.0,0.25,-3.45,525,525,530
30,3000.0,0.25,-3.45,512,510,510
31,3100.0,0.25,-3.45,498,500,500
32,3200.0,0.25,-3.45,484,485,480
33,3300.0,0.25,-3.45,471,470,470
34,3400.0,0.25,-3.45,456,455,460
35,3500.0,0.25,-3.45,442,440,440
36,3600.0,0.25,-3.45,428,430,430
37,3700.0,0.25,-3.45,414,415,410
38,3800.0,0.25,-3.45,399,400,400
39,3900.0,0.25,-3.45,385,385,380
40,4000.0,0.25,-3.45,370,370,370
41,4100.0,0.25,-3.45,355,355,360
42,4200.0,0.25,-3.45,340,340,340
43,4300.0,0.25,-3.45,325,325,320
44,4400.0,0.25,-3.45,310,310,310
45,4500.0,0.25,-3.45,294,295,290
46,4600.0,0.25,-3.45,279,280,280
47,4700.0,0.25,-3.45,262,260,260
48,4800.0,0.25,-3.45,246,245,250
49,4900.0,0.25,-3.45,230,230,230
50,5000.0,0.25,-3.45,213,215,210
51,5100.0,0.25,-3.45,197,195,200
52,5200.0,0.25,-3.45,181,180,180
53,5300.0,0.25,-3.45,165,165,160
54,5400.0,0.25,-3.45,149,150,150
55,5500.0,0.25,-3.45,132,130,130
56,5600.0,0.25,-3.45,115,115,120
57,5700.0,0.25,-3.45,98,100,100
58,5800.0,0.25,-3.45,81,80,80
59,5900.0,0.25,-3.45,63,65,60
60,6000.0,0.25,-3.45,46,45,50
61,6100.0,0.25,-3.45,30,30,30
62,6200.0,0.25,-3.45,12,10,10
63,6300.0,0.25,-3.45,-5,-5,-10
64,6400.0,0.25,-3.45,-22,-20,-20
65,6500.0,0.25,-3.45,-39,-40,-40
66,6600.0,0.25,-3.45,-57,-55,-60
67,6700.0,0.25,-3.45,-74,-75,-70
68,6800.0,0.25,-3.45,-92,-90,-90
69,6900.0,0.25,-3.45,-110,-110,-110
70,7000.0,0.25,-3.45,-128,-130,-130
71,7100.0,0.25,-3.45,-146,-145,-150
72,7200.0,0.25,-3.45,-163,-165,-160
73,7300.0,0.25,-3.45,-182,-180,-180
74,7400.0,0.25,-3.45,-200,-200,-200
75,7500.0,0.25,-3.45,-218,-220,-220
76,7600.0,0.25,-3.45,-236,-235,-240
77,7700.0,0.25,-3.45,-255,-255,-250
78,7800.0,0.25,-3.45,-273,-275,-270
79,7900.0,0.25,-3.45,-291,-290,-290
80,8000.0,0.25,-3.45,-310,-310,-310
81,8100.0,0.25,-3.45,-328,-330,-330
82,8200.0,0.25,-3.45,-346,-345,-350
83,8300.0,0.25,-3.45,-365,-365,-360
84,8400.0,0.25,-3.45,-383,-385,-380
85,8500.0,0.25,-3.45,-402,-400,-400
86,8600.0,0.25,-3.45,-421,-420,-420
87,8700.0,0.25,-3.45,-440,-440,-440
88,8800.0,0.25,-3.45,-458,-460,-460
89,8900.0,0.25,-3.45,-476,-475,-480
90,9000.0,0.25,-3.45,-495,-495,-490
91,9100.0,0.25,-3.45,-513,-515,-510
92,9200.0,0.25,-3.45,-531,-530,-530
93,9300.0,0.25,-3.45,-550,-550,-550
94,9400.0,0.25,-3.45,-568,-570,-570
95,9500.0,0.25,-3.45,-586,-585,-590
96,9600.0,0.25,-3.45,-604,-605,-600
97,9700.0,0.25,-3.45,-623,-625,-620
98,9800.0,0.25,-3.45,-641,-640,-640
99,9900.0,0.25,-3.45,-659,-660,-660
100,10000.0,0.25,-3.45,-676,-675,-680
