,single_amount,sub,cg,year,base_itemizers,base_households,reform_itemizers,reform_households,base_ratio,base_ratio_diff,reform_ratio,reform_ratio_diff
0,0,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
1,0,0.25,-3.45,2026,16003404.98,192503918.12,7759543.82,192503918.12,0.08313287924884757,0.001958633857583894,0.040308498111518855,-0.040865747279744825
2,0,0.25,-3.45,2035,20055911.78,200923107.71,11035269.18,200923107.71,0.09981884119046906,0.018644595799205382,0.05492284738063889,-0.026251398010624788
3,100,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
4,100,0.25,-3.45,2026,16003404.98,192503918.12,7831307.08,192503918.12,0.08313287924884757,0.001958633857583894,0.040681286679672905,-0.040492958711590775
5,100,0.25,-3.45,2035,20055911.78,200923107.71,11100093.94,200923107.71,0.09981884119046906,0.018644595799205382,0.055245482047894603,-0.025928763343369077
6,200,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
7,200,0.25,-3.45,2026,16003404.98,192503918.12,7896743.01,192503918.12,0.08313287924884757,0.001958633857583894,0.04102120667007648,-0.0401530387211872
8,200,0.25,-3.45,2035,20055911.78,200923107.71,11194121.28,200923107.71,0.09981884119046906,0.018644595799205382,0.05571345878323215,-0.025460786608031527
9,300,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
10,300,0.25,-3.45,2026,16003404.98,192503918.12,7960010.2,192503918.12,0.08313287924884757,0.001958633857583894,0.041349860707967596,-0.039824384683296084
11,300,0.25,-3.45,2035,20055911.78,200923107.71,11295331.61,200923107.71,0.09981884119046906,0.018644595799205382,0.05621718546332154,-0.024957059927942143
12,400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
13,400,0.25,-3.45,2026,16003404.98,192503918.12,8045947.9,192503918.12,0.08313287924884757,0.001958633857583894,0.04179628123197184,-0.03937796415929184
14,400,0.25,-3.45,2035,20055911.78,200923107.71,11392664.620000001,200923107.71,0.09981884119046906,0.018644595799205382,0.056701614611911484,-0.024472630779352196
15,500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
16,500,0.25,-3.45,2026,16003404.98,192503918.12,8110791.2700000005,192503918.12,0.08313287924884757,0.001958633857583894,0.04213312305126187,-0.03904112234000181
17,500,0.25,-3.45,2035,20055911.78,200923107.71,11454298.19,200923107.71,0.09981884119046906,0.018644595799205382,0.057008366636118454,-0.024165878755145226
18,600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
19,600,0.25,-3.45,2026,16003404.98,192503918.12,8190585.22,192503918.12,0.08313287924884757,0.001958633857583894,0.04254762864044297,-0.038626616750820714
20,600,0.25,-3.45,2035,20055911.78,200923107.71,11538174.53,200923107.71,0.09981884119046906,0.018644595799205382,0.05742582155683898,-0.0237484238344247
21,700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
22,700,0.25,-3.45,2026,16003404.98,192503918.12,8254188.71,192503918.12,0.08313287924884757,0.001958633857583894,0.04287802965576335,-0.03829621573550033
23,700,0.25,-3.45,2035,20055911.78,200923107.71,11613869.52,200923107.71,0.09981884119046906,0.018644595799205382,0.05780255766680028,-0.0233716877244634
24,800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
25,800,0.25,-3.45,2026,16003404.98,192503918.12,8324524.05,192503918.12,0.08313287924884757,0.001958633857583894,0.04324340060866082,-0.03793084478260286
26,800,0.25,-3.45,2035,20055911.78,200923107.71,11690154.34,200923107.71,0.09981884119046906,0.018644595799205382,0.05818222937738374,-0.022992016013879943
27,900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
28,900,0.25,-3.45,2026,16003404.98,192503918.12,8395067.48,192503918.12,0.08313287924884757,0.001958633857583894,0.043609852526569445,-0.037564392864694235
29,900,0.25,-3.45,2035,20055911.78,200923107.71,11779302.82,200923107.71,0.09981884119046906,0.018644595799205382,0.05862592388826435,-0.022548321502999333
