,single_amount,sub,cg,sd_adjust,sd_adjust_r5,sd_adjust_r10
0,0.0,0.25,-3.45,851,850,850
1,100.0,0.25,-3.45,845,845,840
2,200.0,0.25,-3.45,838,840,840
3,300.0,0.25,-3.45,832,830,830
4,400.0,0.25,-3.45,826,825,830
5,500.0,0.25,-3.45,819,820,820
6,600.0,0.25,-3.45,813,815,810
7,700.0,0.25,-3.45,807,805,810
8,800.0,0.25,-3.45,800,800,800
9,900.0,0.25,-3.45,794,795,790
10,1000.0,0.25,-3.45,787,785,790
11,1100.0,0.25,-3.45,781,780,780
12,1200.0,0.25,-3.45,774,775,770
13,1300.0,0.25,-3.45,768,770,770
14,1400.0,0.25,-3.45,761,760,760
15,1500.0,0.25,-3.45,754,755,750
16,1600.0,0.25,-3.45,747,745,750
17,1700.0,0.25,-3.45,741,740,740
18,1800.0,0.25,-3.45,734,735,730
19,1900.0,0.25,-3.45,727,725,730
20,2000.0,0.25,-3.45,720,720,720
21,2100.0,0.25,-3.45,713,715,710
22,2200.0,0.25,-3.45,706,705,710
23,2300.0,0.25,-3.45,699,700,700
24,2400.0,0.25,-3.45,692,690,690
25,2500.0,0.25,-3.45,684,685,680
26,2600.0,0.25,-3.45,677,675,680
27,2700.0,0.25,-3.45,670,670,670
28,2800.0,0.25,-3.45,662,660,660
29,2900.0,0.25,-3.45,655,655,650
30,3000.0,0.25,-3.45,647,645,650
31,3100.0,0.25,-3.45,639,640,640
32,3200.0,0.25,-3.45,631,630,630
33,3300.0,0.25,-3.45,623,625,620
34,3400.0,0.25,-3.45,615,615,620
35,3500.0,0.25,-3.45,608,610,610
36,3600.0,0.25,-3.45,600,600,600
37,3700.0,0.25,-3.45,592,590,590
38,3800.0,0.25,-3.45,584,585,580
39,3900.0,0.25,-3.45,576,575,580
40,4000.0,0.25,-3.45,568,570,570
41,4100.0,0.25,-3.45,560,560,560
42,4200.0,0.25,-3.45,552,550,550
43,4300.0,0.25,-3.45,543,545,540
44,4400.0,0.25,-3.45,535,535,540
45,4500.0,0.25,-3.45,527,525,530
46,4600.0,0.25,-3.45,518,520,520
47,4700.0,0.25,-3.45,510,510,510
48,4800.0,0.25,-3.45,501,500,500
49,4900.0,0.25,-3.45,492,490,490
50,5000.0,0.25,-3.45,484,485,480
51,5100.0,0.25,-3.45,475,475,470
52,5200.0,0.25,-3.45,466,465,470
53,5300.0,0.25,-3.45,457,455,460
54,5400.0,0.25,-3.45,448,450,450
55,5500.0,0.25,-3.45,439,440,440
56,5600.0,0.25,-3.45,430,430,430
57,5700.0,0.25,-3.45,421,420,420
58,5800.0,0.25,-3.45,412,410,410
59,5900.0,0.25,-3.45,403,405,400
60,6000.0,0.25,-3.45,394,395,390
61,6100.0,0.25,-3.45,385,385,380
62,6200.0,0.25,-3.45,376,375,380
63,6300.0,0.25,-3.45,366,365,370
64,6400.0,0.25,-3.45,357,355,360
65,6500.0,0.25,-3.45,348,350,350
66,6600.0,0.25,-3.45,338,340,340
67,6700.0,0.25,-3.45,329,330,330
68,6800.0,0.25,-3.45,320,320,320
69,6900.0,0.25,-3.45,310,310,310
70,7000.0,0.25,-3.45,301,300,300
71,7100.0,0.25,-3.45,291,290,290
72,7200.0,0.25,-3.45,282,280,280
73,7300.0,0.25,-3.45,272,270,270
74,7400.0,0.25,-3.45,262,260,260
75,7500.0,0.25,-3.45,253,255,250
76,7600.0,0.25,-3.45,243,245,240
77,7700.0,0.25,-3.45,233,235,230
78,7800.0,0.25,-3.45,223,225,220
79,7900.0,0.25,-3.45,213,215,210
80,8000.0,0.25,-3.45,203,205,200
81,8100.0,0.25,-3.45,194,195,190
82,8200.0,0.25,-3.45,184,185,180
83,8300.0,0.25,-3.45,174,175,170
84,8400.0,0.25,-3.45,165,165,160
85,8500.0,0.25,-3.45,154,155,150
86,8600.0,0.25,-3.45,144,145,140
87,8700.0,0.25,-3.45,134,135,130
88,8800.0,0.25,-3.45,124,125,120
89,8900.0,0.25,-3.45,114,115,110
90,9000.0,0.25,-3.45,103,105,100
91,9100.0,0.25,-3.45,93,95,90
92,9200.0,0.25,-3.45,83,85,80
93,9300.0,0.25,-3.45,72,70,70
94,9400.0,0.25,-3.45,62,60,60
95,9500.0,0.25,-3.45,51,50,50
96,9600.0,0.25,-3.45,41,40,40
97,9700.0,0.25,-3.45,31,30,30
98,9800.0,0.25,-3.45,21,20,20
99,9900.0,0.25,-3.45,10,10,10
100,10000.0,0.25,-3.45,0,0,0
