,single_amount,diff
0,0,261.4895573576255
2,100,258.201639569834
4,200,254.9353671617246
6,300,251.632973682835
8,400,248.3081164757412
10,500,244.9036388186914
12,600,241.4678707891831
14,700,238.0657582536797
16,800,234.61673229883885
18,900,231.12492454724412
20,1000,227.60826504743602
22,1100,224.07459294376807
24,1200,220.51024264664258
26,1300,216.8688210002988
28,1400,213.25357159461768
30,1500,209.51143216540964
32,1600,205.7587405721167
34,1700,202.06948894125193
36,1800,198.2603134620654
38,1900,194.36326003913916
40,2000,190.4955138472334
42,2100,186.6244635624624
44,2200,182.72811118857666
46,2300,178.68721108161085
48,2400,174.72775586578175
50,2500,170.72678105893115
52,2600,166.61200183843067
54,2700,162.5626450884541
56,2800,158.4302930765674
58,2900,154.26465635149023
60,3000,150.05142303923535
62,3100,145.85344930751808
64,3200,141.55246431231936
66,3300,137.2899688493379
68,3400,133.02531148965184
70,3500,128.73000329711425
72,3600,124.41361073190868
74,3700,119.96275946278467
76,3800,115.55279698447508
78,3900,111.06162437169287
80,4000,106.57968139927928
82,4100,102.03487386868603
84,4200,97.47199514976855
86,4300,92.97077769783985
88,4400,88.38427828385448
90,4500,83.74423170667822
92,4600,79.03865090708103
94,4700,74.36864149511426
96,4800,69.67190939201171
98,4900,65.0184236557749
100,5000,60.25937701347364
102,5100,55.663532339109366
104,5200,51.06020087209667
106,5300,46.336513744954104
108,5400,41.60417202437695
110,5500,37.069952312459954
112,5600,32.299951793792474
114,5700,27.457859731804202
116,5800,22.73759125566455
118,5900,17.99640246287158
120,6000,13.219930920254395
122,6100,8.423984448226562
124,6200,3.6018917661982424
126,6300,-1.240090902081543
128,6400,-6.137668830347656
130,6500,-10.961096909620606
132,6600,-15.76079205568115
134,6700,-20.634100671150392
136,6800,-25.52192540091211
138,6900,-30.438297212043945
140,7000,-35.19991867663671
142,7100,-39.98741749365283
144,7200,-44.90140396702099
146,7300,-49.7429648093252
148,7400,-54.6606155660459
150,7500,-59.532455334255374
152,7600,-64.29945559923682
154,7700,-69.15684556397754
156,7800,-73.98630696654102
158,7900,-78.82869532982129
160,8000,-83.7193061702085
162,8100,-88.63349616779686
164,8200,-93.49551931975341
166,8300,-98.29587088968555
168,8400,-103.1587070583042
170,8500,-107.76844191432909
172,8600,-112.76412553078222
174,8700,-117.5541566224502
176,8800,-122.30139472671777
178,8900,-127.02718917240477
180,9000,-131.75870933390772
182,9100,-136.45259989795312
184,9200,-141.1547956460493
186,9300,-145.84941721025098
188,9400,-150.59289041676564
190,9500,-155.28565581093847
192,9600,-159.8093100085991
194,9700,-164.51933386008452
196,9800,-169.0167226837437
198,9900,-173.6049471149126
200,10000,-178.08378293856546
