,single_amount,sub,cg,ctc_adjust,ctc_adjust_r5,ctc_adjust_r10
0,0.0,0.25,-3.45,511,510,510
1,100.0,0.25,-3.45,504,505,500
2,200.0,0.25,-3.45,497,495,500
3,300.0,0.25,-3.45,491,490,490
4,400.0,0.25,-3.45,484,485,480
5,500.0,0.25,-3.45,477,475,480
6,600.0,0.25,-3.45,470,470,470
7,700.0,0.25,-3.45,463,465,460
8,800.0,0.25,-3.45,455,455,460
9,900.0,0.25,-3.45,448,450,450
10,1000.0,0.25,-3.45,441,440,440
11,1100.0,0.25,-3.45,434,435,430
12,1200.0,0.25,-3.45,426,425,430
13,1300.0,0.25,-3.45,419,420,420
14,1400.0,0.25,-3.45,412,410,410
15,1500.0,0.25,-3.45,404,405,400
16,1600.0,0.25,-3.45,396,395,400
17,1700.0,0.25,-3.45,388,390,390
18,1800.0,0.25,-3.45,381,380,380
19,1900.0,0.25,-3.45,373,375,370
20,2000.0,0.25,-3.45,365,365,370
21,2100.0,0.25,-3.45,358,360,360
22,2200.0,0.25,-3.45,350,350,350
23,2300.0,0.25,-3.45,342,340,340
24,2400.0,0.25,-3.45,334,335,330
25,2500.0,0.25,-3.45,326,325,330
26,2600.0,0.25,-3.45,317,315,320
27,2700.0,0.25,-3.45,309,310,310
28,2800.0,0.25,-3.45,301,300,300
29,2900.0,0.25,-3.45,293,295,290
30,3000.0,0.25,-3.45,285,285,280
31,3100.0,0.25,-3.45,276,275,280
32,3200.0,0.25,-3.45,268,270,270
33,3300.0,0.25,-3.45,260,260,260
34,3400.0,0.25,-3.45,251,250,250
35,3500.0,0.25,-3.45,243,245,240
36,3600.0,0.25,-3.45,234,235,230
37,3700.0,0.25,-3.45,226,225,230
38,3800.0,0.25,-3.45,217,215,220
39,3900.0,0.25,-3.45,209,210,210
40,4000.0,0.25,-3.45,200,200,200
41,4100.0,0.25,-3.45,191,190,190
42,4200.0,0.25,-3.45,183,185,180
43,4300.0,0.25,-3.45,174,175,170
44,4400.0,0.25,-3.45,165,165,160
45,4500.0,0.25,-3.45,156,155,160
46,4600.0,0.25,-3.45,147,145,150
47,4700.0,0.25,-3.45,138,140,140
48,4800.0,0.25,-3.45,130,130,130
49,4900.0,0.25,-3.45,121,120,120
50,5000.0,0.25,-3.45,112,110,110
51,5100.0,0.25,-3.45,103,105,100
52,5200.0,0.25,-3.45,94,95,90
53,5300.0,0.25,-3.45,85,85,90
54,5400.0,0.25,-3.45,77,75,80
55,5500.0,0.25,-3.45,68,70,70
56,5600.0,0.25,-3.45,59,60,60
57,5700.0,0.25,-3.45,50,50,50
58,5800.0,0.25,-3.45,41,40,40
59,5900.0,0.25,-3.45,33,35,30
60,6000.0,0.25,-3.45,24,25,20
61,6100.0,0.25,-3.45,15,15,20
62,6200.0,0.25,-3.45,6,5,10
63,6300.0,0.25,-3.45,-3,-5,0
64,6400.0,0.25,-3.45,-11,-10,-10
65,6500.0,0.25,-3.45,-20,-20,-20
66,6600.0,0.25,-3.45,-29,-30,-30
67,6700.0,0.25,-3.45,-38,-40,-40
68,6800.0,0.25,-3.45,-47,-45,-50
69,6900.0,0.25,-3.45,-55,-55,-60
70,7000.0,0.25,-3.45,-64,-65,-60
71,7100.0,0.25,-3.45,-73,-75,-70
72,7200.0,0.25,-3.45,-82,-80,-80
73,7300.0,0.25,-3.45,-91,-90,-90
74,7400.0,0.25,-3.45,-100,-100,-100
75,7500.0,0.25,-3.45,-108,-110,-110
76,7600.0,0.25,-3.45,-117,-115,-120
77,7700.0,0.25,-3.45,-125,-125,-130
78,7800.0,0.25,-3.45,-134,-135,-130
79,7900.0,0.25,-3.45,-143,-145,-140
80,8000.0,0.25,-3.45,-151,-150,-150
81,8100.0,0.25,-3.45,-160,-160,-160
82,8200.0,0.25,-3.45,-168,-170,-170
83,8300.0,0.25,-3.45,-177,-175,-180
84,8400.0,0.25,-3.45,-185,-185,-190
85,8500.0,0.25,-3.45,-194,-195,-190
86,8600.0,0.25,-3.45,-202,-200,-200
87,8700.0,0.25,-3.45,-211,-210,-210
88,8800.0,0.25,-3.45,-219,-220,-220
89,8900.0,0.25,-3.45,-227,-225,-230
90,9000.0,0.25,-3.45,-236,-235,-240
91,9100.0,0.25,-3.45,-244,-245,-240
92,9200.0,0.25,-3.45,-252,-250,-250
93,9300.0,0.25,-3.45,-260,-260,-260
94,9400.0,0.25,-3.45,-268,-270,-270
95,9500.0,0.25,-3.45,-276,-275,-280
96,9600.0,0.25,-3.45,-284,-285,-280
97,9700.0,0.25,-3.45,-292,-290,-290
98,9800.0,0.25,-3.45,-300,-300,-300
99,9900.0,0.25,-3.45,-308,-310,-310
100,10000.0,0.25,-3.45,-315,-315,-320
