,single_amount,rate_adjust,diff,rate_adjust_pc
0,0.0,-0.0113,-0.0015321079635844728,-11.299999999999999
2,100.0,-0.0111,-0.00014465809176269562,-11.1
4,200.0,-0.011000000000000001,-0.001095054328701172,-11.0
6,300.0,-0.010899999999999998,-0.0020677132091376955,-10.899999999999999
8,400.0,-0.0107,-0.0007109454085371094,-10.699999999999998
10,500.0,-0.0106,-0.0017722361416098631,-10.6
12,600.0,-0.010399999999999998,-0.000547751099087403,-10.399999999999997
14,700.0,-0.010299999999999998,-0.0016330382613212887,-10.299999999999997
16,800.0,-0.010099999999999996,-0.0004203415072231445,-10.099999999999994
18,900.0,-0.009999999999999997,-0.0015893307910537116,-9.999999999999996
20,1000.0,-0.009799999999999998,-0.0004594718959741211,-9.799999999999997
22,1100.0,-0.009699999999999995,-0.0016682176888544924,-9.699999999999994
24,1200.0,-0.009499999999999996,-0.0006087562925268556,-9.499999999999996
26,1300.0,-0.009399999999999997,-0.0019233783231381836,-9.399999999999997
28,1400.0,-0.009199999999999995,-0.000907714874822266,-9.199999999999994
30,1500.0,-0.009100000000000002,-0.0022934639816918944,-9.100000000000001
32,1600.0,-0.0089,-0.0014040795611499027,-8.9
34,1700.0,-0.008700000000000001,-0.00042624960356396494,-8.700000000000001
36,1800.0,-0.008599999999999998,-0.0018729704694272463,-8.599999999999998
38,1900.0,-0.0084,-0.0011073331773413086,-8.399999999999999
40,2000.0,-0.0082,-0.00030986480497705054,-8.2
42,2100.0,-0.008099999999999998,-0.0018492757341416015,-8.099999999999998
44,2200.0,-0.0079,-0.0011316830543671875,-7.9
46,2300.0,-0.007700000000000003,-0.0005156592763974608,-7.700000000000002
48,2400.0,-0.007600000000000001,-0.002130776301643067,-7.6000000000000005
50,2500.0,-0.007400000000000002,-0.0014765324001245119,-7.400000000000002
52,2600.0,-0.0072,-0.0009073156384487305,-7.199999999999999
54,2700.0,-0.007000000000000001,-0.0003283530670859375,-7.0
56,2800.0,-0.0069000000000000025,-0.0021479835013637687,-6.900000000000002
58,2900.0,-0.0067,-0.001639186966973633,-6.7
60,3000.0,-0.0065000000000000014,-0.0011861675532612304,-6.500000000000001
62,3100.0,-0.006300000000000001,-0.0007228495130986328,-6.300000000000001
