,single_amount,sub,cg,diff
0,0,0.25,-3.45,0.26748343527004004
1,100,0.25,-3.45,0.2653632289837129
2,200,0.25,-3.45,0.26325210777283886
3,300,0.25,-3.45,0.26109012280977345
4,400,0.25,-3.45,0.25891850097997265
5,500,0.25,-3.45,0.2567373741163613
6,600,0.25,-3.45,0.25455327282764456
7,700,0.25,-3.45,0.2524019406791045
8,800,0.25,-3.45,0.2501852056826045
9,900,0.25,-3.45,0.24792926841793456
10,1000,0.25,-3.45,0.2456725935405918
11,1100,0.25,-3.45,0.24341396558897754
12,1200,0.25,-3.45,0.24117505888510254
13,1300,0.25,-3.45,0.23884720243860738
14,1400,0.25,-3.45,0.23657004678827054
15,1500,0.25,-3.45,0.234268999796375
16,1600,0.25,-3.45,0.23193669564491695
17,1700,0.25,-3.45,0.22961135634680274
18,1800,0.25,-3.45,0.22726833770963867
19,1900,0.25,-3.45,0.2249608431349824
20,2000,0.25,-3.45,0.2225614342220928
21,2100,0.25,-3.45,0.22015237553334666
22,2200,0.25,-3.45,0.21778312978579786
23,2300,0.25,-3.45,0.21537380920171287
24,2400,0.25,-3.45,0.21293773544954586
25,2500,0.25,-3.45,0.21051193807719434
26,2600,0.25,-3.45,0.20805390502615823
27,2700,0.25,-3.45,0.20556617883124706
28,2800,0.25,-3.45,0.20306395050340037
29,2900,0.25,-3.45,0.2005264066549531
30,3000,0.25,-3.45,0.19796459393034666
31,3100,0.25,-3.45,0.19542600679904296
32,3200,0.25,-3.45,0.1928544056340596
33,3300,0.25,-3.45,0.19027371682309863
34,3400,0.25,-3.45,0.18767989027290818
35,3500,0.25,-3.45,0.18512293771094043
36,3600,0.25,-3.45,0.18255620233414258
37,3700,0.25,-3.45,0.1799367592401748
38,3800,0.25,-3.45,0.1772846402431299
39,3900,0.25,-3.45,0.17467270635038087
40,4000,0.25,-3.45,0.17205824736647266
41,4100,0.25,-3.45,0.16940424115434763
42,4200,0.25,-3.45,0.16672712298993653
43,4300,0.25,-3.45,0.1639829161611953
44,4400,0.25,-3.45,0.16123533822973438
45,4500,0.25,-3.45,0.15851485045827537
46,4600,0.25,-3.45,0.1557562883433447
47,4700,0.25,-3.45,0.15303274486865623
48,4800,0.25,-3.45,0.1503130332616191
49,4900,0.25,-3.45,0.14751951661382617
50,5000,0.25,-3.45,0.14475495958774512
51,5100,0.25,-3.45,0.1419915135945742
52,5200,0.25,-3.45,0.13919331660441014
53,5300,0.25,-3.45,0.13644791829063183
54,5400,0.25,-3.45,0.1336441031777793
55,5500,0.25,-3.45,0.1308414456806504
56,5600,0.25,-3.45,0.12804363994176854
57,5700,0.25,-3.45,0.12519064714257716
58,5800,0.25,-3.45,0.12241315354387401
59,5900,0.25,-3.45,0.11958611248237207
60,6000,0.25,-3.45,0.11674489914258007
61,6100,0.25,-3.45,0.11390121381680567
62,6200,0.25,-3.45,0.11106967900331152
63,6300,0.25,-3.45,0.10822575498901171
64,6400,0.25,-3.45,0.10532439961037987
65,6500,0.25,-3.45,0.10246522929853125
66,6600,0.25,-3.45,0.0995702999180664
67,6700,0.25,-3.45,0.09668649114855957
68,6800,0.25,-3.45,0.09382231449644433
69,6900,0.25,-3.45,0.09092980598164942
70,7000,0.25,-3.45,0.08799604497024512
71,7100,0.25,-3.45,0.08507389537244726
72,7200,0.25,-3.45,0.08224138855094434
73,7300,0.25,-3.45,0.07933703804691603
74,7400,0.25,-3.45,0.07644732848175097
75,7500,0.25,-3.45,0.07356765784705468
76,7600,0.25,-3.45,0.0706804663247412
77,7700,0.25,-3.45,0.06774714333390722
78,7800,0.25,-3.45,0.06480083021642481
79,7900,0.25,-3.45,0.06184497785388574
80,8000,0.25,-3.45,0.05892481877750098
81,8100,0.25,-3.45,0.05600524317300195
82,8200,0.25,-3.45,0.053133139618167964
83,8300,0.25,-3.45,0.05026140922227539
84,8400,0.25,-3.45,0.04732482620123437
85,8500,0.25,-3.45,0.044351858917912115
86,8600,0.25,-3.45,0.04137742374705371
87,8700,0.25,-3.45,0.03841350654643749
88,8800,0.25,-3.45,0.035492772025309566
89,8900,0.25,-3.45,0.03256924608567871
90,9000,0.25,-3.45,0.029577215845075194
91,9100,0.25,-3.45,0.026653633213835935
92,9200,0.25,-3.45,0.023679271731503904
93,9300,0.25,-3.45,0.02073326352692383
94,9400,0.25,-3.45,0.01771925397498047
95,9500,0.25,-3.45,0.014756463524635742
96,9600,0.25,-3.45,0.01177086347093457
97,9700,0.25,-3.45,0.008879996454975586
98,9800,0.25,-3.45,0.005911336173833985
99,9900,0.25,-3.45,0.002962445724706055
100,10000,0.25,-3.45,0.0
