
Analyzing Albuquerque neighborhoods from AbqNeighborhoods.txt...
Neighborhood	Mean	Median
Academy Acres North (count=22)	340,831.27	360,000.00
Academy Estates East (count=3)	914,666.67	935,000.00
Academy Hills Park (count=16)	521,987.50	490,000.00
Academy Ridge East (count=7)	404,285.71	400,000.00
Alamosa (count=None)	N/A	N/A
Alban Hills (count=None)	N/A	N/A
Alta Monte (count=4)	502,500.00	502,500.00
Altura (count=None)	N/A	N/A
Altura Park (count=8)	875,624.88	880,000.00
Alvarado Gardens (count=6)	618,316.67	650,000.00
Alvarado Park (count=2)	332,450.00	332,450.00
Antelope Run (count=None)	N/A	N/A
Arroyo Del Oso (count=4)	602,500.00	605,000.00
Arroyo Del Oso North (count=4)	602,500.00	605,000.00
Avalon (count=None)	N/A	N/A
Aztec (count=None)	N/A	N/A
Barelas (count=24)	434,820.83	334,500.00
Bear Canyon (count=None)	N/A	N/A
Bel-Air (count=None)	N/A	N/A
Bellehaven (count=7)	342,414.29	325,000.00
Bond Ranches (count=None)	N/A	N/A
Boyds-Leslie Park (count=1)	365,000.00	365,000.00
Broadbent Business Park (count=4)	308,750.00	315,000.00
Candelmen (count=6)	311,833.33	315,500.00
Central Campus (count=None)	N/A	N/A
Chelwood Vista (count=6)	289,566.67	315,000.00
Cherry Hills (count=None)	N/A	N/A
Cibola (count=None)	N/A	N/A
Cielito Lindo (count=None)	N/A	N/A
City View Estates (count=None)	N/A	N/A
Ciudad Vista (count=None)	N/A	N/A
Classic Uptown (count=3)	493,666.67	499,000.00
Clayton Heights-Lomas Del Cielo (count=4)	292,475.00	297,500.00
Conchas Park (count=9)	314,144.44	299,500.00
Cottonwood Heights (count=None)	N/A	N/A
Countrywood Area (count=2)	399,950.00	399,950.00
Crestview Bluff (count=5)	256,780.00	309,000.00
Del Norte (count=None)	N/A	N/A
Downtown Albuquerque (count=20)	464,660.00	427,500.00
Eagle Ranch (count=None)	N/A	N/A
East Central Business Park (count=2)	292,500.00	292,500.00
Eastrange-Piedra Vista (count=1)	515,000.00	515,000.00
Eastridge (count=None)	N/A	N/A
Eisenhower Area (count=1)	320,000.00	320,000.00
Elder Homstead (count=16)	327,159.38	285,000.00
Eldorado Heights (count=None)	N/A	N/A
Embudo Canyon (count=8)	591,812.50	549,250.00
Encanto Village (count=2)	340,000.00	340,000.00
Enchanted Park (count=None)	N/A	N/A
Fair Heights (count=4)	368,750.00	365,000.00
Fair West (count=9)	294,588.89	299,900.00
Foothill Estates (count=None)	N/A	N/A
Four Hills Mobile Home Park (count=5)	111,600.00	118,000.00
Four Hills Village (count=22)	525,109.09	544,500.00
Gavilan (count=None)	N/A	N/A
