state	yr	qtr	index_nsa	index_sa	Warning
AK	1991	1	100.00	100.00	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	2	100.94	100.32	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	3	102.13	101.47	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	4	102.45	102.66	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	1	103.07	103.03	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	2	104.54	103.89	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	3	105.30	104.62	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	4	104.36	104.65	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	1	105.18	105.05	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	2	107.37	106.67	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	3	108.55	107.88	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	4	110.56	110.99	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	1	111.48	111.24	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	2	112.14	111.35	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	3	112.63	112.01	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	4	111.44	111.91	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	1	114.81	114.54	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	2	116.84	115.94	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	3	117.81	117.19	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	4	117.74	118.29	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	1	120.84	120.59	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	2	121.77	120.76	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	3	120.50	119.83	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	4	123.45	124.02	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	1	123.36	123.28	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	2	125.16	124.03	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	3	125.53	124.71	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	4	125.85	126.45	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	1	126.54	126.68	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	2	129.83	128.56	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	3	130.25	129.25	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	4	130.54	131.13	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
