,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034
json_ald_domestic_prod,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
json_rates,-0.0,189699.380338541,197838.76739210155,205819.82168958103,213951.9534056406,222551.3224764668,230832.08235661229,239604.3965049795,248344.95776620603,257185.0997989785,2005827.7817291073
json_ctc,-0.0,87697.2862478623,88738.46568335351,90818.07594998632,92095.51747702148,93620.70170767578,94473.33806203125,96145.50744057617,97335.24116722753,98114.35921620214,839038.4929519364
json_amt,-0.0,103313.13767554784,108621.9711723662,114296.3103924453,119933.14291282714,125802.20421196484,132090.04319109864,138682.75952684766,145428.99353740038,152528.49573537696,1140697.0583558748
json_sd,-0.0,118701.02872980468,122751.80470735057,125793.82517453906,130118.44952407813,133650.34228560742,138124.0374560244,141682.4409947295,145901.00970971287,150073.87364664648,1206796.8122284932
json_salt,-0.0,-108513.9399564873,-115465.9922812998,-122246.42734611327,-129229.23211944336,-136862.6063838994,-144793.16680032422,-152962.6107577871,-161438.0138810742,-170372.37256738087,-1241884.3620938095
json_personal_exemption,-0.0,-188753.89282596484,-195369.38705851074,-202349.62908469237,-209649.73379251952,-216389.3404219697,-223929.02533020603,-230869.2580568779,-238244.8395568867,-245610.45952335253,-1951165.5656509805
json_qbid,-0.0,66084.37744322167,68731.67559677246,71296.07923537109,73950.19183496093,76626.50494773437,79460.29099848535,82371.27426765625,85327.07119544824,88288.63566871094,692136.1011883613
json_excess_biz_loss,-0.0,-12979.825644072265,-13352.029810630858,-13496.33512731543,-13949.85635824414,-14400.33963642285,-14886.654502578125,-15429.729860575195,-15987.694430041014,-16608.152302955077,-131090.61767283495
Total,-0.0,255247.55200845312,262495.2754015029,269931.72088380175,277220.43288432126,284598.78918715724,291370.94543114357,299224.7800595488,306666.72550799313,313599.47967222653,2560355.7010361482
