,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034
json_ald_domestic_prod,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
json_rates,-0.0,230244.25470981738,239544.13112306737,248775.70429032616,258538.779404083,268398.7173724238,278525.67965991405,288912.5440857715,299457.6543117246,310223.29040782223,2422620.7553649503
json_ctc,-0.0,87246.93645864159,88731.36558101172,89977.84366250488,91173.7758389912,92327.90914338574,93423.0457994668,94436.85377892481,95366.30712668945,96223.84022742481,828907.877617041
json_amt,-0.0,125719.49510593848,132289.3256004795,139052.6715258252,146204.89012246387,153762.19417154297,161655.70614878417,169822.2978039912,178168.1140193818,186723.71449501952,1393398.4089934267
json_sd,-0.0,126125.41334079248,130142.00072156836,133909.57300487693,137894.52271578612,141988.746748458,146188.99348549708,150433.08762361913,154796.1656697334,159244.92747409668,1280723.4307844283
json_salt,-0.0,-104072.77308609521,-110848.42550364355,-117677.61346219531,-124627.8177430664,-132067.10089520313,-139870.9237150498,-148055.58368337207,-156482.428117124,-165205.7783323584,-1198908.4445381078
json_personal_exemption,-0.0,-193194.3049325244,-200385.56420924218,-207222.59338462402,-214251.6793688115,-221477.23239131054,-228850.99955821582,-236316.33127270703,-243911.9220609746,-251608.20476346582,-1997218.8319418759
json_qbid,-0.0,66320.61208060352,68903.50788971386,71453.81213178222,74151.89543536524,76866.27026841894,79672.44688066015,82596.56245041503,85607.78806399414,88697.39182454297,694270.287025496
json_excess_biz_loss,-0.0,-14636.828332135741,-15007.567115230468,-15459.377812666015,-15980.248745402343,-16496.744628251952,-17048.97015977344,-17674.63295436914,-18302.998240791014,-18967.898660174804,-149575.2666487949
Total,-0.0,323752.80534503807,333368.77408772457,342810.01995583007,353104.1176594092,363302.75978946383,373694.97854128317,384154.7978322734,394698.68077263376,405331.2826729072,3274218.2166565633
