,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034
json_ald_domestic_prod,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
json_rates,-0.0,172461.63886335155,179944.94670298242,186730.10192860448,194536.2397964414,202261.3922801621,210199.06347632714,218080.93349533007,226451.2273626416,234577.13114187596,1825242.6750477168
json_ctc,-0.0,84248.04601916211,85680.7096486377,87631.07950150195,89198.9996856582,89966.79537296093,92072.0949725371,93125.81641467089,94616.12890510351,95787.13762463964,812326.8081448721
json_amt,-0.0,95316.86827636718,100109.9002698457,105256.97213892675,110508.50849183496,116128.92485409668,121981.62132949902,128119.31799662695,134343.74643140918,140860.5367927119,1052626.3965813182
json_sd,-0.0,112202.23550215624,116354.54359548779,119275.03530769433,122934.54275670605,126544.54893115039,130127.1397348584,134632.62580576268,137887.52586233983,141738.3453634209,1141696.5428595766
json_salt,-0.0,-107745.9262318623,-114478.89731702929,-121241.9335971914,-128308.42580683691,-135710.46806758887,-143651.56253082323,-151778.7670712715,-160130.10692574023,-169106.94455379102,-1232153.0321021348
json_personal_exemption,-0.0,-180350.0512280459,-187508.10440501024,-193862.20343922166,-200853.9503224912,-207035.59378638183,-214172.68553120506,-221738.71593394628,-228859.78626520702,-235922.91614181933,-1870304.0070533284
json_qbid,-0.0,65185.71923840185,67573.6975081875,70088.38851553711,72668.20198559374,75289.03061661035,78005.54133711719,80919.19652299707,83913.09502219238,86883.85875139257,680526.7294980298
json_excess_biz_loss,-0.0,-13103.20374078369,-13417.020009836913,-13828.333423174805,-14331.550844183594,-14812.738925041991,-15328.949691850585,-15886.446708280273,-16470.187677072267,-17079.119159884765,-134257.55018010887
Total,-0.0,228215.32669874706,234259.77599326463,240049.10693267675,246352.56574272265,252631.89127596776,259232.26309645994,265473.9605218896,271751.64271566697,277738.0298185459,2275704.5627959413
