,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034
json_ald_domestic_prod,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
json_rates,-0.0,211037.34371858495,219693.44520908396,228352.860077625,237518.34614893358,246804.34447122752,256363.676433959,266166.622719166,276117.4042476914,286256.3747578603,2228310.4177841316
json_ctc,-0.0,84141.661143583,85716.93696889745,87074.8418212295,88394.55320245116,89667.83904415625,90867.05636901758,92001.61879003028,93077.87809406348,94073.12745113671,805015.5128845654
json_amt,-0.0,115972.77590943359,122015.93812250487,128255.29432583886,134854.71009580567,141823.04942558496,149093.46034550975,156622.42293666795,164334.54543248826,172252.4577449951,1285224.654338829
json_sd,-0.0,119347.01113338915,123172.04785313329,126780.1179941455,130621.99047335937,134584.69916726465,138648.01423352247,142765.53923389647,146997.90487552635,151321.39976752733,1214238.7247317645
json_salt,-0.0,-104024.8798968789,-110803.22155650488,-117634.56803421192,-124569.26295571875,-131984.97124110936,-139761.3015336992,-147918.37022472947,-156312.8719358828,-164986.0502636035,-1197995.4976423387
json_personal_exemption,-0.0,-185269.46033545263,-192248.07895804834,-198897.182669083,-205755.78653485057,-212808.83314167382,-220040.8114631172,-227385.92627611815,-234850.98767003516,-242409.3122222539,-1919666.3792706328
json_qbid,-0.0,65171.295690106934,67701.61443091992,70204.64379779687,72853.40941699706,75516.94090362597,78275.67453749414,81147.25669337012,84100.81421799219,87131.12933668066,682102.7790249839
json_excess_biz_loss,-0.0,-14777.804160623535,-15146.335252094726,-15601.516191271483,-16129.51862628418,-16648.713705017577,-17202.69312741797,-17831.82611461328,-18464.179681336915,-19134.7752432334,-150937.36210189306
Total,-0.0,291597.94320214255,300102.3468178916,308534.4911220693,317788.44122069335,326954.3549240586,336243.0757952685,345567.3377576699,355000.50758050685,364504.35132910934,2946292.84974941
